Date,Equity,Peak,Drawdown
2015-08-12,212905.7453348023,224998.2020595636,0.053744681575544594
2015-08-13,212466.94589390163,224998.2020595636,0.055694916896911806
2015-08-14,213286.43365848754,224998.2020595636,0.05205271995007146
2015-08-17,215021.13979550908,224998.2020595636,0.044342853288282275
2015-08-18,213878.2647314023,224998.2020595636,0.04942233860703261
2015-08-19,212110.48436593614,224998.2020595636,0.05727920301432323
2015-08-20,206896.26713703887,224998.2020595636,0.08045368699316369
2015-08-21,200995.73403582018,224998.2020595636,0.10667848811249286
2015-08-24,192991.2879268724,224998.2020595636,0.1422540884314179
2015-08-25,191495.2827171865,224998.2020595636,0.1489030536053257
2015-08-26,198758.7456410092,224998.2020595636,0.11662073820309032
2015-08-27,203254.93876629372,224998.2020595636,0.09663749796326727
2015-08-28,203907.46685534867,224998.2020595636,0.09373734994838578
2015-08-31,202168.72602790617,224998.2020595636,0.10146514871089413
2015-09-01,202957.43176185552,224998.2020595636,0.09795976188233381
2015-09-02,202188.98786474182,224998.2020595636,0.10137509538313337
2015-09-03,202682.38331289048,224998.2020595636,0.09918220920167828
2015-09-04,203509.57000359925,224998.2020595636,0.09550579453197444
2015-09-08,202203.92794138868,224998.2020595636,0.1013086945118815
2015-09-09,202552.1043786038,224998.2020595636,0.09976123131427359
2015-09-10,201943.4022753089,224998.2020595636,0.10246659561373478
2015-09-11,202544.09949086697,224998.2020595636,0.09979680887739882
2015-09-14,202713.28928193444,224998.2020595636,0.09904484824163035
2015-09-15,200883.4229762759,224998.2020595636,0.10717765236587894
2015-09-16,200613.91527154268,224998.2020595636,0.10837547395852386
2015-09-17,201979.52791747748,224998.2020595636,0.10230603592108885
2015-09-18,203326.50291704736,224998.2020595636,0.09631943252941688
2015-09-21,201831.7731987369,224998.2020595636,0.10296272880746789
2015-09-22,203097.64791744231,224998.2020595636,0.097336573988816
2015-09-23,203015.90037145466,224998.2020595636,0.09769989931870471
2015-09-24,203579.33661471805,224998.2020595636,0.09519571822700765
2015-09-25,202811.71406686938,224998.2020595636,0.09860740125745898
2015-09-28,204356.54033227643,224998.2020595636,0.09174145187979198
2015-09-29,204786.18230926158,224998.2020595636,0.0898319167232781
2015-09-30,204559.63103453186,224998.2020595636,0.09083881932363641
2015-10-01,204906.30989024625,224998.2020595636,0.08929801209699638
2015-10-02,205655.22957955545,224998.2020595636,0.08596945354651099
2015-10-05,204331.2355431834,224998.2020595636,0.0918539185077979
2015-10-06,204766.74108750906,224998.2020595636,0.08991832284374736
2015-10-07,204366.40881531982,224998.2020595636,0.09169759160467396
2015-10-08,203613.99796708432,224998.2020595636,0.09504166654104311
2015-10-09,203830.59284020343,224998.2020595636,0.09407901496811286
2015-10-12,204578.156565675,224998.2020595636,0.09075648297172982
2015-10-13,204758.79423669985,224998.2020595636,0.08995364246291083
2015-10-14,205736.22239404428,224998.2020595636,0.08560948260564372
2015-10-15,205160.7633010575,224998.2020595636,0.08816709901199361
2015-10-16,205125.88052626478,224998.2020595636,0.08832213480549518
2015-10-19,204904.49148863333,224998.2020595636,0.08930609394652353
2015-10-20,204245.41428104977,224998.2020595636,0.09223534938745846
2015-10-21,205161.00008153278,224998.2020595636,0.08816604664591644
2015-10-22,205348.07177634427,224998.2020595636,0.08733461024731819
2015-10-23,204369.06400943227,224998.2020595636,0.09168579064765232
2015-10-26,205004.39925699774,224998.2020595636,0.08886205587221943
2015-10-27,205348.95123160578,224998.2020595636,0.08733070152603302
2015-10-28,204714.0601126842,224998.2020595636,0.09015246238060864
2015-10-29,203195.7294715761,224998.2020595636,0.09690065248706183
2015-10-30,203740.25097354068,224998.2020595636,0.09448053758400843
2015-11-02,206756.24040388197,224998.2020595636,0.08107603300248796
2015-11-03,206497.7115288274,224998.2020595636,0.08222505940664615
2015-11-04,205988.67409534674,224998.2020595636,0.08448746607843774
2015-11-05,206006.4658351993,224998.2020595636,0.08440839104721654
2015-11-06,203883.73521466987,224998.2020595636,0.09384282474979118
2015-11-09,201373.03964842568,224998.2020595636,0.10500156087862271
2015-11-10,202104.26168264463,224998.2020595636,0.10175165920151785
2015-11-11,201829.28712044217,224998.2020595636,0.10297377813262677
2015-11-12,199772.78740123106,224998.2020595636,0.11211384992158573
2015-11-13,196954.86391869799,224998.2020595636,0.12463805436739323
2015-11-16,199655.5801827224,224998.2020595636,0.1126347750553681
2015-11-17,199648.56975166083,224998.2020595636,0.11266593277572937
2015-11-18,202573.66991232254,224998.2020595636,0.09966538373184257
2015-11-19,202767.03652020937,224998.2020595636,0.09880596971823354
2015-11-20,204310.19632239663,224998.2020595636,0.09194742690295031
2015-11-23,204178.6133018478,224998.2020595636,0.09253224500080337
